upc,brand,item_name,our_price,our_discount_price,match_type,competitor_title,competitor_price,suggested_price,change_amount,change_percent,reasoning
713132395233,Burberry,Burberry BE2108 Black,304.0,274.0,upc,Burberry 2108 Eyeglasses,151.0,143.45,-130.55,-47.65,Competitor at $151.00 is 44.9% cheaper (large gap). Aggressively undercutting by 5%.
8053672283303,Armani Exchange,Armani Exchange AX3016 Black,163.0,130.0,upc,Armani Exchange 3016 Eyeglasses,70.52,66.99,-63.01,-48.47,Competitor at $70.52 is 45.8% cheaper (large gap). Aggressively undercutting by 5%.
713132321966,Burberry,Burberry BE2073 Tortoise,311.0,280.0,upc,Burberry 2073 Eyeglasses,141.88,134.79,-145.21,-51.86,Competitor at $141.88 is 49.3% cheaper (large gap). Aggressively undercutting by 5%.
725125379632,Michael Kors,Michael Kors MK3056 Naxos Rose Gold,204.0,163.0,upc,Michael Kors Naxos 3056 Eyeglasses,90.96,86.41,-76.59,-46.99,Competitor at $90.96 is 44.2% cheaper (large gap). Aggressively undercutting by 5%.
725125961295,Michael Kors,"Michael Kors MK4030 Vivianna II Tortoise, Beige",256.0,230.0,upc,Michael Kors Vivianna Ii 4030 Eyeglasses,91.74,87.15,-142.85,-62.11,Competitor at $91.74 is 60.1% cheaper (large gap). Aggressively undercutting by 5%.
725125932226,Coach,"Coach HC6065 Tortoise, Purple, Multicolor",304.0,274.0,upc,Coach 6065 Eyeglasses,145.29,138.03,-135.97,-49.62,Competitor at $145.29 is 47.0% cheaper (large gap). Aggressively undercutting by 5%.
8056597886826,Burberry,Burberry BE2357 Esme Black,341.0,307.0,upc,Burberry Esme 2357 Eyeglasses,166.11,157.8,-149.2,-48.6,Competitor at $166.11 is 45.9% cheaper (large gap). Aggressively undercutting by 5%.
725125013215,Coach,Coach HC8264 Shiny Black,367.0,330.0,upc,Coach L1083 8264 Sunglasses,152.36,144.74,-185.26,-56.14,Competitor at $152.36 is 53.8% cheaper (large gap). Aggressively undercutting by 5%.
7895653258068,Armani Exchange,Armani Exchange AX1059 Black,46.0,46.0,upc,Armani Exchange 1059 Eyeglasses,74.72,46.0,0.0,0.0,Our price $46.00 is already at or below competitor's $74.72. No change needed.
725125387736,Michael Kors,Michael Kors MK4095U Dolonne Shiny Black,237.0,213.0,upc,Michael Kors Dolonne 4095U Eyeglasses,91.74,87.15,-125.85,-59.08,Competitor at $91.74 is 56.9% cheaper (large gap). Aggressively undercutting by 5%.
